,loss,val_loss
315,6.818891415605322e-05,6.988087261561304e-05
316,6.74049006192945e-05,6.958575977478176e-05
317,6.814976950408891e-05,7.044414087431505e-05
318,6.901788583490998e-05,7.015659502940252e-05
319,6.749203021172434e-05,7.042849028948694e-05
320,6.848279008409008e-05,7.671590719837695e-05
321,6.791025953134522e-05,6.827690231148154e-05
322,6.730555469403043e-05,6.762859993614256e-05
323,6.746601866325364e-05,6.86688072164543e-05
324,6.7768974986393e-05,6.788227619836107e-05
325,6.806139572290704e-05,6.999541801633313e-05
326,6.766373553546146e-05,6.962613406358287e-05
327,6.783367280149832e-05,6.75110932206735e-05
328,6.862124428153038e-05,7.463785004802048e-05
329,6.748502346454188e-05,6.827788456575945e-05
330,6.847680197097361e-05,6.740425305906683e-05
331,6.800805567763746e-05,7.001512130955234e-05
332,6.844764720881358e-05,6.813670188421384e-05
333,6.789349572500214e-05,6.851492798887193e-05
334,6.74455295666121e-05,6.87993669998832e-05
335,6.793305510655046e-05,6.811546336393803e-05
336,6.745659629814327e-05,7.97040993347764e-05
337,6.834248051745817e-05,6.834154191892594e-05
338,6.825591844972223e-05,6.78476135362871e-05
339,6.820374255767092e-05,6.82300960761495e-05
340,6.859761197119951e-05,6.943631160538644e-05
341,6.814729567850009e-05,6.904095789650455e-05
342,6.81213423376903e-05,7.547301356680691e-05
343,6.914155528647825e-05,6.873738311696798e-05
344,6.770836625946686e-05,7.272573566297069e-05
345,6.814618245698512e-05,7.058922346914187e-05
346,6.771052721887827e-05,6.778188253520057e-05
347,6.785928417230025e-05,6.776314694434404e-05
348,6.850327190477401e-05,6.846983887953684e-05
349,6.812962237745523e-05,6.779155955882743e-05
350,6.740576645825058e-05,7.138402725104243e-05
351,6.71466113999486e-05,7.071418804116547e-05
352,6.752704211976379e-05,7.077056943671778e-05
353,6.758196104783565e-05,6.933504482731223e-05
354,6.827082688687369e-05,6.824926094850525e-05
355,6.758320523658767e-05,6.958257290534675e-05
356,6.807310273870826e-05,8.00171765149571e-05
357,6.748970918124542e-05,6.761301483493298e-05
358,6.783213757444173e-05,6.861842848593369e-05
359,6.791453779442236e-05,6.708533328492194e-05
360,6.734999624313787e-05,7.707728946115822e-05
361,6.820000271545723e-05,6.933198892511427e-05
362,6.767766899429262e-05,6.746458529960364e-05
363,6.826654134783894e-05,6.794095679651946e-05
364,6.754771311534569e-05,7.079452916514128e-05
365,6.742835103068501e-05,6.779201066819951e-05
366,6.859471614006907e-05,7.454776641679928e-05
367,6.810834747739136e-05,6.706804560963064e-05
368,6.773000495741144e-05,6.939875311218202e-05
369,6.72448513796553e-05,6.805251177866012e-05
370,6.750991451554e-05,8.721241465536878e-05
371,6.727130676154047e-05,7.212503260234371e-05
372,6.812903302488849e-05,6.7878958361689e-05
373,6.851416401332244e-05,7.49365208321251e-05
374,6.802129064453766e-05,6.845958705525845e-05
375,6.755461799912155e-05,6.916369602549821e-05
376,6.76753552397713e-05,6.815862434450537e-05
377,6.761464464943856e-05,7.873008871683851e-05
378,6.761080294381827e-05,6.832450890215114e-05
379,6.780559488106519e-05,7.050311251077801e-05
380,6.812065112171695e-05,6.852985097793862e-05
381,6.814862717874348e-05,6.89000662532635e-05
382,6.811951607232913e-05,6.715259223710746e-05
383,6.82399986544624e-05,6.820986163802445e-05
384,6.743513222318143e-05,7.368371734628454e-05
385,6.721061799908057e-05,7.044761150609702e-05
386,6.783483695471659e-05,7.089030259521678e-05
387,6.781154661439359e-05,7.350863597821444e-05
388,6.850011413916945e-05,6.809973274357617e-05
389,6.752082117600366e-05,7.742574234725907e-05
390,6.710640445817262e-05,7.091249426594004e-05
391,6.783305434510112e-05,7.423711940646172e-05
392,6.783493154216558e-05,6.937090802239254e-05
393,6.750419561285526e-05,7.119825022527948e-05
394,6.734859925927594e-05,6.837764522060752e-05
395,6.779945397283882e-05,6.80879529681988e-05
396,6.743374979123473e-05,6.79047589073889e-05
397,6.79251752444543e-05,6.812828360125422e-05
398,6.771046173525974e-05,6.979316822253168e-05
399,6.821123679401353e-05,6.856303662061691e-05
400,6.768506864318624e-05,6.779813702451065e-05
401,6.708181172143668e-05,7.685067976126447e-05
402,6.770575419068336e-05,7.177900261012837e-05
403,6.779708928661421e-05,7.203619315987453e-05
404,6.788880273234099e-05,6.871120422147214e-05
405,6.775827205274254e-05,6.927365757292137e-05
406,6.732340989401564e-05,6.834415398770943e-05
407,6.801949348300695e-05,6.89854277879931e-05
408,6.738389492966235e-05,7.027097308309749e-05
409,6.792460771976039e-05,7.458253821823746e-05
410,6.836395186837763e-05,7.166987779783085e-05
411,6.725668936269358e-05,6.803272844990715e-05
412,6.746311555616558e-05,6.880898581584916e-05
413,6.76416966598481e-05,7.170299795689061e-05
414,6.778526585549116e-05,7.504039240302518e-05
415,6.795863009756431e-05,6.741661491105333e-05
416,6.725595449097455e-05,6.868298078188673e-05
417,6.776856753276661e-05,7.048346742521971e-05
418,6.779883551644161e-05,6.729252345394343e-05
419,6.844502058811486e-05,7.074741006363183e-05
420,6.793464854126796e-05,6.788306927774101e-05
421,6.726811989210546e-05,6.892116653034464e-05
422,6.903462781338021e-05,7.033821020741016e-05
423,6.752477929694578e-05,6.77529678796418e-05
424,6.766251317458227e-05,7.262623694259673e-05
425,6.763598503312096e-05,7.240754348458722e-05
426,6.876173574710265e-05,6.811475759604946e-05
427,6.698149081785232e-05,6.87594510964118e-05
428,6.785458390368149e-05,6.983212369959801e-05
429,6.751815089955926e-05,6.943824701011181e-05
430,6.813789514126256e-05,6.786886660847813e-05
